epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,18923.3,1.06636,0.93567,1.23323,0.69211,0.49711,0.55616,0.37048,1.04627,8.5779,1.25002,0.003862,0.003862,0.003862
64,19217,1.06862,0.93254,1.23689,0.6936,0.49761,0.55646,0.37088,1.04547,8.58632,1.24928,0.003763,0.003763,0.003763
65,19509.1,1.06857,0.91849,1.23515,0.70554,0.49023,0.55712,0.37143,1.04447,8.57765,1.24845,0.003664,0.003664,0.003664
66,19802.7,1.05477,0.90976,1.23117,0.69844,0.4946,0.55798,0.37162,1.04371,8.58239,1.24773,0.003565,0.003565,0.003565
67,20099.3,1.05793,0.91997,1.23574,0.70242,0.49082,0.55855,0.37223,1.04253,8.57386,1.24681,0.003466,0.003466,0.003466
68,20393.2,1.06395,0.91954,1.23198,0.70074,0.49338,0.5595,0.37316,1.04201,8.59613,1.24611,0.003367,0.003367,0.003367
69,20685.9,1.05347,0.89845,1.22699,0.69669,0.49546,0.55973,0.37367,1.04139,8.60671,1.24549,0.003268,0.003268,0.003268
70,20979.1,1.04879,0.89681,1.22349,0.69604,0.49647,0.56025,0.37444,1.04089,8.62171,1.245,0.003169,0.003169,0.003169
71,21274.9,1.04558,0.88898,1.22047,0.69208,0.50181,0.5608,0.37504,1.04018,8.6235,1.2444,0.00307,0.00307,0.00307
72,21572.4,1.04435,0.88785,1.21879,0.69826,0.50052,0.56245,0.37626,1.03956,8.62225,1.2442,0.002971,0.002971,0.002971
73,21869.7,1.03398,0.87408,1.2112,0.69969,0.50068,0.56202,0.37611,1.03919,8.63034,1.24407,0.002872,0.002872,0.002872
74,22164.5,1.02901,0.87515,1.2135,0.70202,0.50182,0.56333,0.37778,1.03845,8.63294,1.24368,0.002773,0.002773,0.002773
75,22460,1.03025,0.87712,1.2137,0.70334,0.50131,0.56333,0.37754,1.03763,8.64758,1.2432,0.002674,0.002674,0.002674
76,22757.6,1.02616,0.861,1.21121,0.70418,0.49945,0.56371,0.37845,1.03705,8.65379,1.24293,0.002575,0.002575,0.002575
77,23054.4,1.02872,0.86437,1.21097,0.70534,0.50086,0.56466,0.37905,1.03607,8.6545,1.24209,0.002476,0.002476,0.002476
78,23351.2,1.02646,0.86084,1.20535,0.70672,0.50185,0.56532,0.37948,1.03513,8.65872,1.24129,0.002377,0.002377,0.002377
79,23646,1.01464,0.84699,1.20501,0.70565,0.50201,0.56564,0.37988,1.03438,8.66172,1.24087,0.002278,0.002278,0.002278
80,23941,1.01128,0.84093,1.2009,0.707,0.50216,0.56616,0.38045,1.03309,8.65981,1.23965,0.002179,0.002179,0.002179
81,24239.6,1.0073,0.83463,1.2001,0.70806,0.50217,0.56669,0.38062,1.03222,8.65532,1.23875,0.00208,0.00208,0.00208
82,24535.9,1.01175,0.83702,1.1998,0.70986,0.50195,0.56714,0.38094,1.03135,8.6436,1.23783,0.001981,0.001981,0.001981
83,24832,0.99948,0.819,1.19206,0.71037,0.50203,0.56771,0.3813,1.0306,8.63755,1.23729,0.001882,0.001882,0.001882
84,25128.3,0.99755,0.81721,1.19187,0.71199,0.5017,0.56824,0.38201,1.03066,8.63867,1.23764,0.001783,0.001783,0.001783
85,25424.3,0.99607,0.81761,1.19581,0.70867,0.50519,0.56906,0.38206,1.0302,8.62758,1.23731,0.001684,0.001684,0.001684
86,25720.6,0.98789,0.8002,1.18545,0.70998,0.50552,0.56988,0.3829,1.02967,8.62348,1.23693,0.001585,0.001585,0.001585
87,26013.3,0.98504,0.80537,1.1843,0.70388,0.50762,0.57037,0.38339,1.02889,8.60814,1.23648,0.001486,0.001486,0.001486
88,26305.8,0.99451,0.81169,1.1858,0.70206,0.50835,0.57061,0.38349,1.0283,8.60614,1.23599,0.001387,0.001387,0.001387
89,26600.4,0.99062,0.80473,1.18046,0.69793,0.50942,0.57144,0.38452,1.0277,8.61077,1.23556,0.001288,0.001288,0.001288
90,26896.3,0.98095,0.78452,1.18025,0.69813,0.50968,0.57228,0.385,1.02703,8.60649,1.2349,0.001189,0.001189,0.001189
91,27184.8,0.90831,0.62886,1.15651,0.70063,0.50926,0.57129,0.38526,1.02548,8.59209,1.23355,0.00109,0.00109,0.00109
92,27470.2,0.89084,0.60564,1.14523,0.70077,0.50925,0.57176,0.38553,1.0247,8.59155,1.23293,0.000991,0.000991,0.000991
93,27755.8,0.89211,0.61481,1.14956,0.713,0.50492,0.57365,0.38626,1.02359,8.58288,1.23223,0.000892,0.000892,0.000892
94,28039.5,0.87538,0.59698,1.14049,0.712,0.50647,0.57278,0.3863,1.02243,8.57516,1.23112,0.000793,0.000793,0.000793
95,28324.7,0.8737,0.58604,1.13794,0.71668,0.50313,0.57411,0.38669,1.02144,8.56687,1.23032,0.000694,0.000694,0.000694
96,28609.1,0.86558,0.58157,1.1351,0.71249,0.50798,0.57325,0.3868,1.02102,8.5606,1.23011,0.000595,0.000595,0.000595
97,28894,0.86109,0.57644,1.12795,0.71048,0.50861,0.57366,0.38742,1.02014,8.55206,1.22939,0.000496,0.000496,0.000496
98,29179,0.85131,0.56685,1.12782,0.71174,0.51014,0.57608,0.38876,1.01927,8.55168,1.22851,0.000397,0.000397,0.000397
99,29464.8,0.85746,0.56282,1.12064,0.71836,0.50975,0.5771,0.38945,1.01906,8.55329,1.22806,0.000298,0.000298,0.000298
100,29752.8,0.84564,0.56089,1.11906,0.72226,0.5072,0.5773,0.38981,1.01846,8.55542,1.2276,0.000199,0.000199,0.000199
